nodes,guardians,threshold,fdkgPercentage,tallierRetPct,tallierNewPct,successRate
10,2,1,0.1,0.5,0.05,0
10,2,1,0.1,0.6,0.05,0
10,2,1,0.1,0.7,0.05,0
10,2,1,0.1,0.8,0.05,0
10,2,1,0.1,0.9,0.05,0
10,2,1,0.1,1,0.05,1
10,2,1,0.25,0.5,0.05,0.349
10,2,1,0.25,0.6,0.05,0.337
10,2,1,0.25,0.7,0.05,0.325
10,2,1,0.25,0.8,0.05,0.352
10,2,1,0.25,0.9,0.05,0.327
10,2,1,0.25,1,0.05,1
10,2,1,0.5,0.5,0.05,0.286
10,2,1,0.5,0.6,0.05,0.581
10,2,1,0.5,0.7,0.05,0.6
10,2,1,0.5,0.8,0.05,0.834
10,2,1,0.5,0.9,0.05,0.863
10,2,1,0.5,1,0.05,1
10,2,1,0.75,0.5,0.05,0.367
10,2,1,0.75,0.6,0.05,0.639
10,2,1,0.75,0.7,0.05,0.61
10,2,1,0.75,0.8,0.05,0.846
10,2,1,0.75,0.9,0.05,0.963
10,2,1,0.75,1,0.05,1
10,2,1,1,0.5,0.05,0.488
10,2,1,1,0.6,0.05,0.73
10,2,1,1,0.7,0.05,0.887
10,2,1,1,0.8,0.05,0.977
10,2,1,1,0.9,0.05,1
10,2,1,1,1,0.05,1
10,2,2,0.1,0.5,0.05,0
10,2,2,0.1,0.6,0.05,0
10,2,2,0.1,0.7,0.05,0
10,2,2,0.1,0.8,0.05,0
10,2,2,0.1,0.9,0.05,0
10,2,2,0.1,1,0.05,1
10,2,2,0.25,0.5,0.05,0
10,2,2,0.25,0.6,0.05,0
10,2,2,0.25,0.7,0.05,0
10,2,2,0.25,0.8,0.05,0
10,2,2,0.25,0.9,0.05,0
10,2,2,0.25,1,0.05,1
10,2,2,0.5,0.5,0.05,0.003
10,2,2,0.5,0.6,0.05,0.05
10,2,2,0.5,0.7,0.05,0.057
10,2,2,0.5,0.8,0.05,0.279
10,2,2,0.5,0.9,0.05,0.303
10,2,2,0.5,1,0.05,1
10,2,2,0.75,0.5,0.05,0.006
10,2,2,0.75,0.6,0.05,0.04
10,2,2,0.75,0.7,0.05,0.038
10,2,2,0.75,0.8,0.05,0.182
10,2,2,0.75,0.9,0.05,0.563
10,2,2,0.75,1,0.05,1
10,2,2,1,0.5,0.05,0.015
10,2,2,1,0.6,0.05,0.059
10,2,2,1,0.7,0.05,0.193
10,2,2,1,0.8,0.05,0.445
10,2,2,1,0.9,0.05,0.808
10,2,2,1,1,0.05,1
10,3,1,0.1,0.5,0.05,0
10,3,1,0.1,0.6,0.05,0
10,3,1,0.1,0.7,0.05,0
10,3,1,0.1,0.8,0.05,0
10,3,1,0.1,0.9,0.05,0
10,3,1,0.1,1,0.05,1
10,3,1,0.25,0.5,0.05,0.457
10,3,1,0.25,0.6,0.05,0.444
10,3,1,0.25,0.7,0.05,0.451
10,3,1,0.25,0.8,0.05,0.436
10,3,1,0.25,0.9,0.05,0.461
10,3,1,0.25,1,0.05,1
10,3,1,0.5,0.5,0.05,0.481
10,3,1,0.5,0.6,0.05,0.79
10,3,1,0.5,0.7,0.05,0.776
10,3,1,0.5,0.8,0.05,0.939
10,3,1,0.5,0.9,0.05,0.941
10,3,1,0.5,1,0.05,1
10,3,1,0.75,0.5,0.05,0.637
10,3,1,0.75,0.6,0.05,0.886
10,3,1,0.75,0.7,0.05,0.873
10,3,1,0.75,0.8,0.05,0.961
10,3,1,0.75,0.9,0.05,0.997
10,3,1,0.75,1,0.05,1
10,3,1,1,0.5,0.05,0.814
10,3,1,1,0.6,0.05,0.956
10,3,1,1,0.7,0.05,0.998
10,3,1,1,0.8,0.05,1
10,3,1,1,0.9,0.05,1
10,3,1,1,1,0.05,1
10,3,2,0.1,0.5,0.05,0
10,3,2,0.1,0.6,0.05,0
10,3,2,0.1,0.7,0.05,0
10,3,2,0.1,0.8,0.05,0
10,3,2,0.1,0.9,0.05,0
10,3,2,0.1,1,0.05,1
10,3,2,0.25,0.5,0.05,0
10,3,2,0.25,0.6,0.05,0
10,3,2,0.25,0.7,0.05,0
10,3,2,0.25,0.8,0.05,0
10,3,2,0.25,0.9,0.05,0
10,3,2,0.25,1,0.05,1
10,3,2,0.5,0.5,0.05,0.033
10,3,2,0.5,0.6,0.05,0.191
10,3,2,0.5,0.7,0.05,0.202
10,3,2,0.5,0.8,0.05,0.564
10,3,2,0.5,0.9,0.05,0.567
10,3,2,0.5,1,0.05,1
10,3,2,0.75,0.5,0.05,0.077
10,3,2,0.75,0.6,0.05,0.251
10,3,2,0.75,0.7,0.05,0.238
10,3,2,0.75,0.8,0.05,0.585
10,3,2,0.75,0.9,0.05,0.866
10,3,2,0.75,1,0.05,1
10,3,2,1,0.5,0.05,0.159
10,3,2,1,0.6,0.05,0.442
10,3,2,1,0.7,0.05,0.731
10,3,2,1,0.8,0.05,0.931
10,3,2,1,0.9,0.05,1
10,3,2,1,1,0.05,1
10,3,3,0.1,0.5,0.05,0
10,3,3,0.1,0.6,0.05,0
10,3,3,0.1,0.7,0.05,0
10,3,3,0.1,0.8,0.05,0
10,3,3,0.1,0.9,0.05,0
10,3,3,0.1,1,0.05,1
10,3,3,0.25,0.5,0.05,0
10,3,3,0.25,0.6,0.05,0
10,3,3,0.25,0.7,0.05,0
10,3,3,0.25,0.8,0.05,0
10,3,3,0.25,0.9,0.05,0
10,3,3,0.25,1,0.05,1
10,3,3,0.5,0.5,0.05,0
10,3,3,0.5,0.6,0.05,0.003
10,3,3,0.5,0.7,0.05,0.007
10,3,3,0.5,0.8,0.05,0.09
10,3,3,0.5,0.9,0.05,0.068
10,3,3,0.5,1,0.05,1
10,3,3,0.75,0.5,0.05,0
10,3,3,0.75,0.6,0.05,0.006
10,3,3,0.75,0.7,0.05,0.002
10,3,3,0.75,0.8,0.05,0.058
10,3,3,0.75,0.9,0.05,0.304
10,3,3,0.75,1,0.05,1
10,3,3,1,0.5,0.05,0.004
10,3,3,1,0.6,0.05,0.015
10,3,3,1,0.7,0.05,0.093
10,3,3,1,0.8,0.05,0.325
10,3,3,1,0.9,0.05,0.71
10,3,3,1,1,0.05,1
10,4,1,0.1,0.5,0.05,0
10,4,1,0.1,0.6,0.05,0
10,4,1,0.1,0.7,0.05,0
10,4,1,0.1,0.8,0.05,0
10,4,1,0.1,0.9,0.05,0
10,4,1,0.1,1,0.05,1
10,4,1,0.25,0.5,0.05,0.526
10,4,1,0.25,0.6,0.05,0.54
10,4,1,0.25,0.7,0.05,0.578
10,4,1,0.25,0.8,0.05,0.547
10,4,1,0.25,0.9,0.05,0.545
10,4,1,0.25,1,0.05,1
10,4,1,0.5,0.5,0.05,0.68
10,4,1,0.5,0.6,0.05,0.886
10,4,1,0.5,0.7,0.05,0.912
10,4,1,0.5,0.8,0.05,0.977
10,4,1,0.5,0.9,0.05,0.986
10,4,1,0.5,1,0.05,1
10,4,1,0.75,0.5,0.05,0.817
10,4,1,0.75,0.6,0.05,0.962
10,4,1,0.75,0.7,0.05,0.952
10,4,1,0.75,0.8,0.05,0.994
10,4,1,0.75,0.9,0.05,1
10,4,1,0.75,1,0.05,1
10,4,1,1,0.5,0.05,0.952
10,4,1,1,0.6,0.05,0.996
10,4,1,1,0.7,0.05,1
10,4,1,1,0.8,0.05,1
10,4,1,1,0.9,0.05,1
10,4,1,1,1,0.05,1
10,4,2,0.1,0.5,0.05,0
10,4,2,0.1,0.6,0.05,0
10,4,2,0.1,0.7,0.05,0
10,4,2,0.1,0.8,0.05,0
10,4,2,0.1,0.9,0.05,0
10,4,2,0.1,1,0.05,1
10,4,2,0.25,0.5,0.05,0
10,4,2,0.25,0.6,0.05,0
10,4,2,0.25,0.7,0.05,0
10,4,2,0.25,0.8,0.05,0
10,4,2,0.25,0.9,0.05,0
10,4,2,0.25,1,0.05,1
10,4,2,0.5,0.5,0.05,0.096
10,4,2,0.5,0.6,0.05,0.436
10,4,2,0.5,0.7,0.05,0.391
10,4,2,0.5,0.8,0.05,0.763
10,4,2,0.5,0.9,0.05,0.766
10,4,2,0.5,1,0.05,1
10,4,2,0.75,0.5,0.05,0.232
10,4,2,0.75,0.6,0.05,0.585
10,4,2,0.75,0.7,0.05,0.548
10,4,2,0.75,0.8,0.05,0.834
10,4,2,0.75,0.9,0.05,0.976
10,4,2,0.75,1,0.05,1
10,4,2,1,0.5,0.05,0.505
10,4,2,1,0.6,0.05,0.815
10,4,2,1,0.7,0.05,0.976
10,4,2,1,0.8,0.05,1
10,4,2,1,0.9,0.05,1
10,4,2,1,1,0.05,1
10,4,3,0.1,0.5,0.05,0
10,4,3,0.1,0.6,0.05,0
10,4,3,0.1,0.7,0.05,0
10,4,3,0.1,0.8,0.05,0
10,4,3,0.1,0.9,0.05,0
10,4,3,0.1,1,0.05,1
10,4,3,0.25,0.5,0.05,0
10,4,3,0.25,0.6,0.05,0
10,4,3,0.25,0.7,0.05,0
10,4,3,0.25,0.8,0.05,0
10,4,3,0.25,0.9,0.05,0
10,4,3,0.25,1,0.05,1
10,4,3,0.5,0.5,0.05,0
10,4,3,0.5,0.6,0.05,0.029
10,4,3,0.5,0.7,0.05,0.043
10,4,3,0.5,0.8,0.05,0.274
10,4,3,0.5,0.9,0.05,0.267
10,4,3,0.5,1,0.05,1
10,4,3,0.75,0.5,0.05,0.004
10,4,3,0.75,0.6,0.05,0.069
10,4,3,0.75,0.7,0.05,0.071
10,4,3,0.75,0.8,0.05,0.319
10,4,3,0.75,0.9,0.05,0.685
10,4,3,0.75,1,0.05,1
10,4,3,1,0.5,0.05,0.044
10,4,3,1,0.6,0.05,0.219
10,4,3,1,0.7,0.05,0.531
10,4,3,1,0.8,0.05,0.868
10,4,3,1,0.9,0.05,1
10,4,3,1,1,0.05,1
10,4,4,0.1,0.5,0.05,0
10,4,4,0.1,0.6,0.05,0
10,4,4,0.1,0.7,0.05,0
10,4,4,0.1,0.8,0.05,0
10,4,4,0.1,0.9,0.05,0
10,4,4,0.1,1,0.05,1
10,4,4,0.25,0.5,0.05,0
10,4,4,0.25,0.6,0.05,0
10,4,4,0.25,0.7,0.05,0
10,4,4,0.25,0.8,0.05,0
10,4,4,0.25,0.9,0.05,0
10,4,4,0.25,1,0.05,1
10,4,4,0.5,0.5,0.05,0
10,4,4,0.5,0.6,0.05,0
10,4,4,0.5,0.7,0.05,0
10,4,4,0.5,0.8,0.05,0.021
10,4,4,0.5,0.9,0.05,0.009
10,4,4,0.5,1,0.05,1
10,4,4,0.75,0.5,0.05,0
10,4,4,0.75,0.6,0.05,0
10,4,4,0.75,0.7,0.05,0
10,4,4,0.75,0.8,0.05,0.009
10,4,4,0.75,0.9,0.05,0.175
10,4,4,0.75,1,0.05,1
10,4,4,1,0.5,0.05,0
10,4,4,1,0.6,0.05,0.002
10,4,4,1,0.7,0.05,0.037
10,4,4,1,0.8,0.05,0.197
10,4,4,1,0.9,0.05,0.601
10,4,4,1,1,0.05,1
10,5,1,0.1,0.5,0.05,0
10,5,1,0.1,0.6,0.05,0
10,5,1,0.1,0.7,0.05,0
10,5,1,0.1,0.8,0.05,0
10,5,1,0.1,0.9,0.05,0
10,5,1,0.1,1,0.05,1
10,5,1,0.25,0.5,0.05,0.652
10,5,1,0.25,0.6,0.05,0.626
10,5,1,0.25,0.7,0.05,0.62
10,5,1,0.25,0.8,0.05,0.624
10,5,1,0.25,0.9,0.05,0.642
10,5,1,0.25,1,0.05,1
10,5,1,0.5,0.5,0.05,0.829
10,5,1,0.5,0.6,0.05,0.964
10,5,1,0.5,0.7,0.05,0.964
10,5,1,0.5,0.8,0.05,0.997
10,5,1,0.5,0.9,0.05,0.998
10,5,1,0.5,1,0.05,1
10,5,1,0.75,0.5,0.05,0.931
10,5,1,0.75,0.6,0.05,0.988
