nodes,guardians,threshold,fdkgPercentage,tallierRetPct,tallierNewPct,successRate
10,2,1,0.1,0.5,0.05,0
10,2,1,0.1,0.6,0.05,0
10,2,1,0.1,0.7,0.05,0
10,2,1,0.1,0.8,0.05,0
10,2,1,0.1,0.9,0.05,0
10,2,1,0.1,1,0.05,1
10,2,1,0.25,0.5,0.05,0.443
10,2,1,0.25,0.6,0.05,0.467
10,2,1,0.25,0.7,0.05,0.466
10,2,1,0.25,0.8,0.05,0.466
10,2,1,0.25,0.9,0.05,0.459
10,2,1,0.25,1,0.05,1
10,2,1,0.5,0.5,0.05,0.328
10,2,1,0.5,0.6,0.05,0.764
10,2,1,0.5,0.7,0.05,0.742
10,2,1,0.5,0.8,0.05,0.944
10,2,1,0.5,0.9,0.05,0.925
10,2,1,0.5,1,0.05,1
10,2,1,0.75,0.5,0.05,0.476
10,2,1,0.75,0.6,0.05,0.82
10,2,1,0.75,0.7,0.05,0.785
10,2,1,0.75,0.8,0.05,0.945
10,2,1,0.75,0.9,0.05,0.993
10,2,1,0.75,1,0.05,1
10,2,1,1,0.5,0.05,0.788
10,2,1,1,0.6,0.05,0.929
10,2,1,1,0.7,0.05,0.987
10,2,1,1,0.8,0.05,1
10,2,1,1,0.9,0.05,1
10,2,1,1,1,0.05,1
10,2,2,0.1,0.5,0.05,0
10,2,2,0.1,0.6,0.05,0
10,2,2,0.1,0.7,0.05,0
10,2,2,0.1,0.8,0.05,0
10,2,2,0.1,0.9,0.05,0
10,2,2,0.1,1,0.05,1
10,2,2,0.25,0.5,0.05,0
10,2,2,0.25,0.6,0.05,0
10,2,2,0.25,0.7,0.05,0
10,2,2,0.25,0.8,0.05,0
10,2,2,0.25,0.9,0.05,0
10,2,2,0.25,1,0.05,1
10,2,2,0.5,0.5,0.05,0.002
10,2,2,0.5,0.6,0.05,0.146
10,2,2,0.5,0.7,0.05,0.174
10,2,2,0.5,0.8,0.05,0.619
10,2,2,0.5,0.9,0.05,0.61
10,2,2,0.5,1,0.05,1
10,2,2,0.75,0.5,0.05,0.015
10,2,2,0.75,0.6,0.05,0.197
10,2,2,0.75,0.7,0.05,0.211
10,2,2,0.75,0.8,0.05,0.561
10,2,2,0.75,0.9,0.05,0.876
10,2,2,0.75,1,0.05,1
10,2,2,1,0.5,0.05,0.127
10,2,2,1,0.6,0.05,0.419
10,2,2,1,0.7,0.05,0.717
10,2,2,1,0.8,0.05,0.913
10,2,2,1,0.9,0.05,1
10,2,2,1,1,0.05,1
10,3,1,0.1,0.5,0.05,0
10,3,1,0.1,0.6,0.05,0
10,3,1,0.1,0.7,0.05,0
10,3,1,0.1,0.8,0.05,0
10,3,1,0.1,0.9,0.05,0
10,3,1,0.1,1,0.05,1
10,3,1,0.25,0.5,0.05,0.608
10,3,1,0.25,0.6,0.05,0.627
10,3,1,0.25,0.7,0.05,0.584
10,3,1,0.25,0.8,0.05,0.618
10,3,1,0.25,0.9,0.05,0.607
10,3,1,0.25,1,0.05,1
10,3,1,0.5,0.5,0.05,0.596
10,3,1,0.5,0.6,0.05,0.899
10,3,1,0.5,0.7,0.05,0.925
10,3,1,0.5,0.8,0.05,0.986
10,3,1,0.5,0.9,0.05,0.981
10,3,1,0.5,1,0.05,1
10,3,1,0.75,0.5,0.05,0.799
10,3,1,0.75,0.6,0.05,0.961
10,3,1,0.75,0.7,0.05,0.946
10,3,1,0.75,0.8,0.05,0.988
10,3,1,0.75,0.9,0.05,1
10,3,1,0.75,1,0.05,1
10,3,1,1,0.5,0.05,0.968
10,3,1,1,0.6,0.05,0.996
10,3,1,1,0.7,0.05,1
10,3,1,1,0.8,0.05,1
10,3,1,1,0.9,0.05,1
10,3,1,1,1,0.05,1
10,3,2,0.1,0.5,0.05,0
10,3,2,0.1,0.6,0.05,0
10,3,2,0.1,0.7,0.05,0
10,3,2,0.1,0.8,0.05,0
10,3,2,0.1,0.9,0.05,0
10,3,2,0.1,1,0.05,1
10,3,2,0.25,0.5,0.05,0
10,3,2,0.25,0.6,0.05,0
10,3,2,0.25,0.7,0.05,0
10,3,2,0.25,0.8,0.05,0
10,3,2,0.25,0.9,0.05,0
10,3,2,0.25,1,0.05,1
10,3,2,0.5,0.5,0.05,0.033
10,3,2,0.5,0.6,0.05,0.407
10,3,2,0.5,0.7,0.05,0.381
10,3,2,0.5,0.8,0.05,0.842
10,3,2,0.5,0.9,0.05,0.856
10,3,2,0.5,1,0.05,1
10,3,2,0.75,0.5,0.05,0.137
10,3,2,0.75,0.6,0.05,0.56
10,3,2,0.75,0.7,0.05,0.57
10,3,2,0.75,0.8,0.05,0.874
10,3,2,0.75,0.9,0.05,0.98
10,3,2,0.75,1,0.05,1
10,3,2,1,0.5,0.05,0.63
10,3,2,1,0.6,0.05,0.876
10,3,2,1,0.7,0.05,0.976
10,3,2,1,0.8,0.05,1
10,3,2,1,0.9,0.05,1
10,3,2,1,1,0.05,1
10,3,3,0.1,0.5,0.05,0
10,3,3,0.1,0.6,0.05,0
10,3,3,0.1,0.7,0.05,0
10,3,3,0.1,0.8,0.05,0
10,3,3,0.1,0.9,0.05,0
10,3,3,0.1,1,0.05,1
10,3,3,0.25,0.5,0.05,0
10,3,3,0.25,0.6,0.05,0
10,3,3,0.25,0.7,0.05,0
10,3,3,0.25,0.8,0.05,0
10,3,3,0.25,0.9,0.05,0
10,3,3,0.25,1,0.05,1
10,3,3,0.5,0.5,0.05,0
10,3,3,0.5,0.6,0.05,0.031
10,3,3,0.5,0.7,0.05,0.031
10,3,3,0.5,0.8,0.05,0.439
10,3,3,0.5,0.9,0.05,0.444
10,3,3,0.5,1,0.05,1
10,3,3,0.75,0.5,0.05,0.001
10,3,3,0.75,0.6,0.05,0.068
10,3,3,0.75,0.7,0.05,0.069
10,3,3,0.75,0.8,0.05,0.42
10,3,3,0.75,0.9,0.05,0.855
10,3,3,0.75,1,0.05,1
10,3,3,1,0.5,0.05,0.069
10,3,3,1,0.6,0.05,0.359
10,3,3,1,0.7,0.05,0.745
10,3,3,1,0.8,0.05,0.945
10,3,3,1,0.9,0.05,1
10,3,3,1,1,0.05,1
10,4,1,0.1,0.5,0.05,0
10,4,1,0.1,0.6,0.05,0
10,4,1,0.1,0.7,0.05,0
10,4,1,0.1,0.8,0.05,0
10,4,1,0.1,0.9,0.05,0
10,4,1,0.1,1,0.05,1
10,4,1,0.25,0.5,0.05,0.733
10,4,1,0.25,0.6,0.05,0.756
10,4,1,0.25,0.7,0.05,0.707
10,4,1,0.25,0.8,0.05,0.709
10,4,1,0.25,0.9,0.05,0.713
10,4,1,0.25,1,0.05,1
10,4,1,0.5,0.5,0.05,0.784
10,4,1,0.5,0.6,0.05,0.976
10,4,1,0.5,0.7,0.05,0.966
10,4,1,0.5,0.8,0.05,0.999
10,4,1,0.5,0.9,0.05,0.997
10,4,1,0.5,1,0.05,1
10,4,1,0.75,0.5,0.05,0.926
10,4,1,0.75,0.6,0.05,0.997
10,4,1,0.75,0.7,0.05,0.989
10,4,1,0.75,0.8,0.05,0.998
10,4,1,0.75,0.9,0.05,1
10,4,1,0.75,1,0.05,1
10,4,1,1,0.5,0.05,0.999
10,4,1,1,0.6,0.05,1
10,4,1,1,0.7,0.05,1
10,4,1,1,0.8,0.05,1
10,4,1,1,0.9,0.05,1
10,4,1,1,1,0.05,1
10,4,2,0.1,0.5,0.05,0
10,4,2,0.1,0.6,0.05,0
10,4,2,0.1,0.7,0.05,0
10,4,2,0.1,0.8,0.05,0
10,4,2,0.1,0.9,0.05,0
10,4,2,0.1,1,0.05,1
10,4,2,0.25,0.5,0.05,0
10,4,2,0.25,0.6,0.05,0
10,4,2,0.25,0.7,0.05,0
10,4,2,0.25,0.8,0.05,0
10,4,2,0.25,0.9,0.05,0
10,4,2,0.25,1,0.05,1
10,4,2,0.5,0.5,0.05,0.11
10,4,2,0.5,0.6,0.05,0.667
10,4,2,0.5,0.7,0.05,0.678
10,4,2,0.5,0.8,0.05,0.947
10,4,2,0.5,0.9,0.05,0.95
10,4,2,0.5,1,0.05,1
10,4,2,0.75,0.5,0.05,0.415
10,4,2,0.75,0.6,0.05,0.836
10,4,2,0.75,0.7,0.05,0.842
10,4,2,0.75,0.8,0.05,0.983
10,4,2,0.75,0.9,0.05,0.997
10,4,2,0.75,1,0.05,1
10,4,2,1,0.5,0.05,0.906
10,4,2,1,0.6,0.05,0.987
10,4,2,1,0.7,0.05,1
10,4,2,1,0.8,0.05,1
10,4,2,1,0.9,0.05,1
10,4,2,1,1,0.05,1
10,4,3,0.1,0.5,0.05,0
10,4,3,0.1,0.6,0.05,0
10,4,3,0.1,0.7,0.05,0
10,4,3,0.1,0.8,0.05,0
10,4,3,0.1,0.9,0.05,0
10,4,3,0.1,1,0.05,1
10,4,3,0.25,0.5,0.05,0
10,4,3,0.25,0.6,0.05,0
10,4,3,0.25,0.7,0.05,0
10,4,3,0.25,0.8,0.05,0
10,4,3,0.25,0.9,0.05,0
10,4,3,0.25,1,0.05,1
10,4,3,0.5,0.5,0.05,0
10,4,3,0.5,0.6,0.05,0.133
10,4,3,0.5,0.7,0.05,0.11
10,4,3,0.5,0.8,0.05,0.682
10,4,3,0.5,0.9,0.05,0.684
10,4,3,0.5,1,0.05,1
10,4,3,0.75,0.5,0.05,0.011
10,4,3,0.75,0.6,0.05,0.297
10,4,3,0.75,0.7,0.05,0.3
10,4,3,0.75,0.8,0.05,0.766
10,4,3,0.75,0.9,0.05,0.966
10,4,3,0.75,1,0.05,1
10,4,3,1,0.5,0.05,0.441
10,4,3,1,0.6,0.05,0.837
10,4,3,1,0.7,0.05,0.969
10,4,3,1,0.8,0.05,1
10,4,3,1,0.9,0.05,1
10,4,3,1,1,0.05,1
10,4,4,0.1,0.5,0.05,0
10,4,4,0.1,0.6,0.05,0
10,4,4,0.1,0.7,0.05,0
10,4,4,0.1,0.8,0.05,0
10,4,4,0.1,0.9,0.05,0
10,4,4,0.1,1,0.05,1
10,4,4,0.25,0.5,0.05,0
10,4,4,0.25,0.6,0.05,0
10,4,4,0.25,0.7,0.05,0
10,4,4,0.25,0.8,0.05,0
10,4,4,0.25,0.9,0.05,0
10,4,4,0.25,1,0.05,1
10,4,4,0.5,0.5,0.05,0
10,4,4,0.5,0.6,0.05,0
10,4,4,0.5,0.7,0.05,0
10,4,4,0.5,0.8,0.05,0.255
10,4,4,0.5,0.9,0.05,0.273
10,4,4,0.5,1,0.05,1
10,4,4,0.75,0.5,0.05,0
10,4,4,0.75,0.6,0.05,0.015
10,4,4,0.75,0.7,0.05,0.007
10,4,4,0.75,0.8,0.05,0.3
10,4,4,0.75,0.9,0.05,0.817
10,4,4,0.75,1,0.05,1
10,4,4,1,0.5,0.05,0.017
10,4,4,1,0.6,0.05,0.288
10,4,4,1,0.7,0.05,0.745
10,4,4,1,0.8,0.05,0.944
10,4,4,1,0.9,0.05,1
10,4,4,1,1,0.05,1
10,5,1,0.1,0.5,0.05,0
10,5,1,0.1,0.6,0.05,0
10,5,1,0.1,0.7,0.05,0
10,5,1,0.1,0.8,0.05,0
10,5,1,0.1,0.9,0.05,0
10,5,1,0.1,1,0.05,1
10,5,1,0.25,0.5,0.05,0.828
10,5,1,0.25,0.6,0.05,0.831
10,5,1,0.25,0.7,0.05,0.807
10,5,1,0.25,0.8,0.05,0.814
10,5,1,0.25,0.9,0.05,0.819
10,5,1,0.25,1,0.05,1
10,5,1,0.5,0.5,0.05,0.923
10,5,1,0.5,0.6,0.05,0.996
10,5,1,0.5,0.7,0.05,0.994
10,5,1,0.5,0.8,0.05,1
10,5,1,0.5,0.9,0.05,1
10,5,1,0.5,1,0.05,1
10,5,1,0.75,0.5,0.05,0.985
10,5,1,0.75,0.6,0.05,1
10,5,1,0.75,0.7,0.05,0.999
