Voters,Options,Time
2,2,0
12,2,0
22,2,0
32,2,0
42,2,0
52,2,0
62,2,1
72,2,2
82,2,1
92,2,1
102,2,1
112,2,1
122,2,1
132,2,5
142,2,1
152,2,2
162,2,3
172,2,2
182,2,2
192,2,2
202,2,2
212,2,2
222,2,2
232,2,12
242,2,2
252,2,3
262,2,3
272,2,5
282,2,4
292,2,4
302,2,4
312,2,3
322,2,3
332,2,4
342,2,4
352,2,4
362,2,3
372,2,4
382,2,5
392,2,5
402,2,5
412,2,4
422,2,5
432,2,6
442,2,5
452,2,6
462,2,9
472,2,7
482,2,5
492,2,5
502,2,6
512,2,7
522,2,12
532,2,6
542,2,7
552,2,8
562,2,7
572,2,6
582,2,8
592,2,7
602,2,8
612,2,6
622,2,8
632,2,8
642,2,10
652,2,10
662,2,8
672,2,8
682,2,9
692,2,10
702,2,11
712,2,9
722,2,12
732,2,8
742,2,10
752,2,8
762,2,12
772,2,10
782,2,8
792,2,11
802,2,11
812,2,9
822,2,12
832,2,12
842,2,20
852,2,11
862,2,13
872,2,12
882,2,19
892,2,12
902,2,12
912,2,11
922,2,14
932,2,10
942,2,13
952,2,12
962,2,12
972,2,22
982,2,18
992,2,14
3,3,0
12,3,2
21,3,6
30,3,14
39,3,23
48,3,37
57,3,59
66,3,88
75,3,127
84,3,205
93,3,275
102,3,313
111,3,433
120,3,540
129,3,498
138,3,583
147,3,751
156,3,1300
165,3,1666
174,3,643
183,3,2047
192,3,998
201,3,1004
210,3,2781
219,3,1439
228,3,4395
237,3,4541
246,3,5768
255,3,4429
264,3,2629
273,3,3709
282,3,9420
291,3,9914
300,3,9769
309,3,3417
318,3,7375
327,3,8873
336,3,14231
345,3,14786
354,3,6982
363,3,12384
372,3,11445
381,3,5947
390,3,18296
399,3,19625
408,3,7361
417,3,28176
426,3,13172
435,3,8278
4,4,0
12,4,1
20,4,7
28,4,24
36,4,104
44,4,151
52,4,182
60,4,242
68,4,293
76,4,406
84,4,559
92,4,772
100,4,1042
108,4,1182
116,4,1478
124,4,2007
132,4,2247
140,4,2725
148,4,3504
156,4,4209
164,4,6084
172,4,6035
180,4,6275
188,4,7202
196,4,9664
204,4,9471
212,4,11123
220,4,12485
228,4,13244
236,4,15021
244,4,16790
5,5,0
15,5,17
25,5,195
35,5,1107
45,5,4669
55,5,7723
65,5,4911
75,5,48448
85,5,95433
95,5,165867
105,5,85023
115,5,204850
125,5,233301
135,5,715942
145,5,1483978
6,6,5
12,6,38
18,6,173
24,6,630
30,6,1735
36,6,4998
42,6,21612
48,6,76090
54,6,33094
60,6,226520
