nodes,guardians,threshold,fdkgPercentage,tallierRetPct,tallierNewPct,successRate
100,10,1,0.1,0.1,0,0
100,10,1,0.1,0.2,0,0
100,10,1,0.1,0.3,0,0
100,10,1,0.1,0.4,0,0.01
100,10,1,0.1,0.5,0,0.07
100,10,1,0.1,0.6,0,0.14
100,10,1,0.1,0.7,0,0.24
100,10,1,0.1,0.8,0,0.4
100,10,1,0.1,0.9,0,0.64
100,10,1,0.1,1,0,1
100,10,1,0.2,0.1,0,0
100,10,1,0.2,0.2,0,0
100,10,1,0.2,0.3,0,0.01
100,10,1,0.2,0.4,0,0.08
100,10,1,0.2,0.5,0,0.13
100,10,1,0.2,0.6,0,0.2
100,10,1,0.2,0.7,0,0.3
100,10,1,0.2,0.8,0,0.54
100,10,1,0.2,0.9,0,0.84
100,10,1,0.2,1,0,1
100,10,1,0.3,0.1,0,0
100,10,1,0.3,0.2,0,0
100,10,1,0.3,0.3,0,0.02
100,10,1,0.3,0.4,0,0.06
100,10,1,0.3,0.5,0,0.17
100,10,1,0.3,0.6,0,0.33
100,10,1,0.3,0.7,0,0.58
100,10,1,0.3,0.8,0,0.76
100,10,1,0.3,0.9,0,0.94
100,10,1,0.3,1,0,1
100,10,1,0.4,0.1,0,0
100,10,1,0.4,0.2,0,0
100,10,1,0.4,0.3,0,0.03
100,10,1,0.4,0.4,0,0.11
100,10,1,0.4,0.5,0,0.33
100,10,1,0.4,0.6,0,0.55
100,10,1,0.4,0.7,0,0.67
100,10,1,0.4,0.8,0,0.92
100,10,1,0.4,0.9,0,0.97
100,10,1,0.4,1,0,1
100,10,1,0.5,0.1,0,0
100,10,1,0.5,0.2,0,0
100,10,1,0.5,0.3,0,0.06
100,10,1,0.5,0.4,0,0.19
100,10,1,0.5,0.5,0,0.41
100,10,1,0.5,0.6,0,0.71
100,10,1,0.5,0.7,0,0.89
100,10,1,0.5,0.8,0,0.96
100,10,1,0.5,0.9,0,0.97
100,10,1,0.5,1,0,1
100,10,1,0.6,0.1,0,0
100,10,1,0.6,0.2,0,0.02
100,10,1,0.6,0.3,0,0.08
100,10,1,0.6,0.4,0,0.35
100,10,1,0.6,0.5,0,0.66
100,10,1,0.6,0.6,0,0.87
100,10,1,0.6,0.7,0,0.95
100,10,1,0.6,0.8,0,0.99
100,10,1,0.6,0.9,0,1
100,10,1,0.6,1,0,1
100,10,1,0.7,0.1,0,0
100,10,1,0.7,0.2,0,0.01
100,10,1,0.7,0.3,0,0.14
100,10,1,0.7,0.4,0,0.37
100,10,1,0.7,0.5,0,0.77
100,10,1,0.7,0.6,0,0.92
100,10,1,0.7,0.7,0,0.96
100,10,1,0.7,0.8,0,1
100,10,1,0.7,0.9,0,1
100,10,1,0.7,1,0,1
100,10,1,0.8,0.1,0,0
100,10,1,0.8,0.2,0,0.03
100,10,1,0.8,0.3,0,0.35
100,10,1,0.8,0.4,0,0.6
100,10,1,0.8,0.5,0,0.89
100,10,1,0.8,0.6,0,0.99
100,10,1,0.8,0.7,0,1
100,10,1,0.8,0.8,0,1
100,10,1,0.8,0.9,0,1
100,10,1,0.8,1,0,1
100,10,1,0.9,0.1,0,0
100,10,1,0.9,0.2,0,0.03
100,10,1,0.9,0.3,0,0.23
100,10,1,0.9,0.4,0,0.67
100,10,1,0.9,0.5,0,0.97
100,10,1,0.9,0.6,0,0.99
100,10,1,0.9,0.7,0,1
100,10,1,0.9,0.8,0,1
100,10,1,0.9,0.9,0,1
100,10,1,0.9,1,0,1
100,10,1,1,0.1,0,0
100,10,1,1,0.2,0,0.03
100,10,1,1,0.3,0,0.35
100,10,1,1,0.4,0,0.81
100,10,1,1,0.5,0,0.96
100,10,1,1,0.6,0,1
100,10,1,1,0.7,0,1
100,10,1,1,0.8,0,1
100,10,1,1,0.9,0,1
100,10,1,1,1,0,1
100,10,2,0.1,0.1,0,0
100,10,2,0.1,0.2,0,0
100,10,2,0.1,0.3,0,0
100,10,2,0.1,0.4,0,0
100,10,2,0.1,0.5,0,0
100,10,2,0.1,0.6,0,0
100,10,2,0.1,0.7,0,0.03
100,10,2,0.1,0.8,0,0.07
100,10,2,0.1,0.9,0,0.22
100,10,2,0.1,1,0,1
100,10,2,0.2,0.1,0,0
100,10,2,0.2,0.2,0,0
100,10,2,0.2,0.3,0,0
100,10,2,0.2,0.4,0,0
100,10,2,0.2,0.5,0,0
100,10,2,0.2,0.6,0,0.01
100,10,2,0.2,0.7,0,0.05
100,10,2,0.2,0.8,0,0.15
100,10,2,0.2,0.9,0,0.51
100,10,2,0.2,1,0,1
100,10,2,0.3,0.1,0,0
100,10,2,0.3,0.2,0,0
100,10,2,0.3,0.3,0,0
100,10,2,0.3,0.4,0,0
100,10,2,0.3,0.5,0,0.01
100,10,2,0.3,0.6,0,0.04
100,10,2,0.3,0.7,0,0.09
100,10,2,0.3,0.8,0,0.3
100,10,2,0.3,0.9,0,0.52
100,10,2,0.3,1,0,1
100,10,2,0.4,0.1,0,0
100,10,2,0.4,0.2,0,0
100,10,2,0.4,0.3,0,0
100,10,2,0.4,0.4,0,0
100,10,2,0.4,0.5,0,0.04
100,10,2,0.4,0.6,0,0.11
100,10,2,0.4,0.7,0,0.33
100,10,2,0.4,0.8,0,0.52
100,10,2,0.4,0.9,0,0.81
100,10,2,0.4,1,0,1
100,10,2,0.5,0.1,0,0
100,10,2,0.5,0.2,0,0
100,10,2,0.5,0.3,0,0
100,10,2,0.5,0.4,0,0
100,10,2,0.5,0.5,0,0.04
100,10,2,0.5,0.6,0,0.18
100,10,2,0.5,0.7,0,0.44
100,10,2,0.5,0.8,0,0.76
100,10,2,0.5,0.9,0,0.91
100,10,2,0.5,1,0,1
100,10,2,0.6,0.1,0,0
100,10,2,0.6,0.2,0,0
100,10,2,0.6,0.3,0,0
100,10,2,0.6,0.4,0,0
100,10,2,0.6,0.5,0,0.11
100,10,2,0.6,0.6,0,0.37
100,10,2,0.6,0.7,0,0.68
100,10,2,0.6,0.8,0,0.91
100,10,2,0.6,0.9,0,0.97
100,10,2,0.6,1,0,1
100,10,2,0.7,0.1,0,0
100,10,2,0.7,0.2,0,0
100,10,2,0.7,0.3,0,0
100,10,2,0.7,0.4,0,0.02
100,10,2,0.7,0.5,0,0.23
100,10,2,0.7,0.6,0,0.63
100,10,2,0.7,0.7,0,0.74
100,10,2,0.7,0.8,0,0.99
100,10,2,0.7,0.9,0,0.99
100,10,2,0.7,1,0,1
100,10,2,0.8,0.1,0,0
100,10,2,0.8,0.2,0,0
100,10,2,0.8,0.3,0,0.02
100,10,2,0.8,0.4,0,0.13
100,10,2,0.8,0.5,0,0.38
100,10,2,0.8,0.6,0,0.81
100,10,2,0.8,0.7,0,0.96
100,10,2,0.8,0.8,0,1
100,10,2,0.8,0.9,0,1
100,10,2,0.8,1,0,1
100,10,2,0.9,0.1,0,0
100,10,2,0.9,0.2,0,0
100,10,2,0.9,0.3,0,0
100,10,2,0.9,0.4,0,0.15
100,10,2,0.9,0.5,0,0.7
100,10,2,0.9,0.6,0,0.89
100,10,2,0.9,0.7,0,0.98
100,10,2,0.9,0.8,0,1
100,10,2,0.9,0.9,0,1
100,10,2,0.9,1,0,1
100,10,2,1,0.1,0,0
100,10,2,1,0.2,0,0
100,10,2,1,0.3,0,0.03
100,10,2,1,0.4,0,0.29
100,10,2,1,0.5,0,0.79
100,10,2,1,0.6,0,0.99
100,10,2,1,0.7,0,1
100,10,2,1,0.8,0,1
100,10,2,1,0.9,0,1
100,10,2,1,1,0,1
100,10,3,0.1,0.1,0,0
100,10,3,0.1,0.2,0,0
100,10,3,0.1,0.3,0,0
100,10,3,0.1,0.4,0,0
100,10,3,0.1,0.5,0,0
100,10,3,0.1,0.6,0,0
100,10,3,0.1,0.7,0,0
100,10,3,0.1,0.8,0,0
100,10,3,0.1,0.9,0,0.04
100,10,3,0.1,1,0,1
100,10,3,0.2,0.1,0,0
100,10,3,0.2,0.2,0,0
100,10,3,0.2,0.3,0,0
100,10,3,0.2,0.4,0,0
100,10,3,0.2,0.5,0,0
100,10,3,0.2,0.6,0,0
100,10,3,0.2,0.7,0,0
100,10,3,0.2,0.8,0,0
100,10,3,0.2,0.9,0,0.14
100,10,3,0.2,1,0,1
100,10,3,0.3,0.1,0,0
100,10,3,0.3,0.2,0,0
100,10,3,0.3,0.3,0,0
100,10,3,0.3,0.4,0,0
100,10,3,0.3,0.5,0,0
100,10,3,0.3,0.6,0,0
100,10,3,0.3,0.7,0,0
100,10,3,0.3,0.8,0,0.06
100,10,3,0.3,0.9,0,0.26
100,10,3,0.3,1,0,1
100,10,3,0.4,0.1,0,0
100,10,3,0.4,0.2,0,0
100,10,3,0.4,0.3,0,0
100,10,3,0.4,0.4,0,0
100,10,3,0.4,0.5,0,0
100,10,3,0.4,0.6,0,0.01
100,10,3,0.4,0.7,0,0.03
100,10,3,0.4,0.8,0,0.13
100,10,3,0.4,0.9,0,0.51
100,10,3,0.4,1,0,1
100,10,3,0.5,0.1,0,0
100,10,3,0.5,0.2,0,0
100,10,3,0.5,0.3,0,0
100,10,3,0.5,0.4,0,0
100,10,3,0.5,0.5,0,0
100,10,3,0.5,0.6,0,0.01
100,10,3,0.5,0.7,0,0.06
100,10,3,0.5,0.8,0,0.39
100,10,3,0.5,0.9,0,0.72
100,10,3,0.5,1,0,1
100,10,3,0.6,0.1,0,0
100,10,3,0.6,0.2,0,0
100,10,3,0.6,0.3,0,0
100,10,3,0.6,0.4,0,0
100,10,3,0.6,0.5,0,0.01
100,10,3,0.6,0.6,0,0.05
100,10,3,0.6,0.7,0,0.25
100,10,3,0.6,0.8,0,0.61
100,10,3,0.6,0.9,0,0.9
100,10,3,0.6,1,0,1
100,10,3,0.7,0.1,0,0
100,10,3,0.7,0.2,0,0
100,10,3,0.7,0.3,0,0
100,10,3,0.7,0.4,0,0
100,10,3,0.7,0.5,0,0.01
100,10,3,0.7,0.6,0,0.18
100,10,3,0.7,0.7,0,0.57
100,10,3,0.7,0.8,0,0.91
100,10,3,0.7,0.9,0,1
100,10,3,0.7,1,0,1
100,10,3,0.8,0.1,0,0
100,10,3,0.8,0.2,0,0
100,10,3,0.8,0.3,0,0
100,10,3,0.8,0.4,0,0
100,10,3,0.8,0.5,0,0
100,10,3,0.8,0.6,0,0.36
100,10,3,0.8,0.7,0,0.8
100,10,3,0.8,0.8,0,0.97
100,10,3,0.8,0.9,0,0.99
100,10,3,0.8,1,0,1
100,10,3,0.9,0.1,0,0
100,10,3,0.9,0.2,0,0
100,10,3,0.9,0.3,0,0
100,10,3,0.9,0.4,0,0.01
100,10,3,0.9,0.5,0,0.13
100,10,3,0.9,0.6,0,0.63
100,10,3,0.9,0.7,0,0.9
100,10,3,0.9,0.8,0,0.98
100,10,3,0.9,0.9,0,1
100,10,3,0.9,1,0,1
100,10,3,1,0.1,0,0
100,10,3,1,0.2,0,0
100,10,3,1,0.3,0,0
100,10,3,1,0.4,0,0.01
100,10,3,1,0.5,0,0.27
100,10,3,1,0.6,0,0.87
100,10,3,1,0.7,0,0.99
100,10,3,1,0.8,0,1
100,10,3,1,0.9,0,1
100,10,3,1,1,0,1
100,10,4,0.1,0.1,0,0
100,10,4,0.1,0.2,0,0
100,10,4,0.1,0.3,0,0
100,10,4,0.1,0.4,0,0
100,10,4,0.1,0.5,0,0
100,10,4,0.1,0.6,0,0
100,10,4,0.1,0.7,0,0
