nodes,guardians,threshold,fdkgPercentage,tallierRetPct,tallierNewPct,successRate
50,5,1,0.5,0.5,0,0.13
50,5,1,0.5,0.7,0,0.59
50,5,1,0.5,0.9,0,0.89
50,5,1,0.5,1,0,1
50,5,1,0.8,0.5,0,0.35
50,5,1,0.8,0.7,0,0.85
50,5,1,0.8,0.9,0,1
50,5,1,0.8,1,0,1
50,5,1,1,0.5,0,0.76
50,5,1,1,0.7,0,0.99
50,5,1,1,0.9,0,1
50,5,1,1,1,0,1
50,5,2,0.5,0.5,0,0
50,5,2,0.5,0.7,0,0.04
50,5,2,0.5,0.9,0,0.52
50,5,2,0.5,1,0,1
50,5,2,0.8,0.5,0,0.03
50,5,2,0.8,0.7,0,0.33
50,5,2,0.8,0.9,0,0.95
50,5,2,0.8,1,0,1
50,5,2,1,0.5,0,0.1
50,5,2,1,0.7,0,0.77
50,5,2,1,0.9,0,1
50,5,2,1,1,0,1
50,5,3,0.5,0.5,0,0
50,5,3,0.5,0.7,0,0
50,5,3,0.5,0.9,0,0.09
50,5,3,0.5,1,0,1
50,5,3,0.8,0.5,0,0
50,5,3,0.8,0.7,0,0.03
50,5,3,0.8,0.9,0,0.68
50,5,3,0.8,1,0,1
50,5,3,1,0.5,0,0
50,5,3,1,0.7,0,0.25
50,5,3,1,0.9,0,0.99
50,5,3,1,1,0,1
50,5,4,0.5,0.5,0,0
50,5,4,0.5,0.7,0,0
50,5,4,0.5,0.9,0,0
50,5,4,0.5,1,0,1
50,5,4,0.8,0.5,0,0
50,5,4,0.8,0.7,0,0
50,5,4,0.8,0.9,0,0.23
50,5,4,0.8,1,0,1
50,5,4,1,0.5,0,0
50,5,4,1,0.7,0,0
50,5,4,1,0.9,0,0.87
50,5,4,1,1,0,1
50,5,5,0.5,0.5,0,0
50,5,5,0.5,0.7,0,0
50,5,5,0.5,0.9,0,0
50,5,5,0.5,1,0,1
50,5,5,0.8,0.5,0,0
50,5,5,0.8,0.7,0,0
50,5,5,0.8,0.9,0,0.02
50,5,5,0.8,1,0,1
50,5,5,1,0.5,0,0
50,5,5,1,0.7,0,0
50,5,5,1,0.9,0,0.19
50,5,5,1,1,0,1
50,10,1,0.5,0.5,0,0.67
50,10,1,0.5,0.7,0,0.97
50,10,1,0.5,0.9,0,1
50,10,1,0.5,1,0,1
50,10,1,0.8,0.5,0,0.99
50,10,1,0.8,0.7,0,1
50,10,1,0.8,0.9,0,1
50,10,1,0.8,1,0,1
50,10,1,1,0.5,0,1
50,10,1,1,0.7,0,1
50,10,1,1,0.9,0,1
50,10,1,1,1,0,1
50,10,2,0.5,0.5,0,0.24
50,10,2,0.5,0.7,0,0.66
50,10,2,0.5,0.9,0,0.96
50,10,2,0.5,1,0,1
50,10,2,0.8,0.5,0,0.84
50,10,2,0.8,0.7,0,0.98
50,10,2,0.8,0.9,0,1
50,10,2,0.8,1,0,1
50,10,2,1,0.5,0,0.98
50,10,2,1,0.7,0,1
50,10,2,1,0.9,0,1
50,10,2,1,1,0,1
50,10,3,0.5,0.5,0,0.01
50,10,3,0.5,0.7,0,0.24
50,10,3,0.5,0.9,0,0.81
50,10,3,0.5,1,0,1
50,10,3,0.8,0.5,0,0.31
50,10,3,0.8,0.7,0,0.94
50,10,3,0.8,0.9,0,1
50,10,3,0.8,1,0,1
50,10,3,1,0.5,0,0.76
50,10,3,1,0.7,0,0.99
50,10,3,1,0.9,0,1
50,10,3,1,1,0,1
50,10,4,0.5,0.5,0,0
50,10,4,0.5,0.7,0,0.09
50,10,4,0.5,0.9,0,0.52
50,10,4,0.5,1,0,1
50,10,4,0.8,0.5,0,0.04
50,10,4,0.8,0.7,0,0.63
50,10,4,0.8,0.9,0,1
50,10,4,0.8,1,0,1
50,10,4,1,0.5,0,0.21
50,10,4,1,0.7,0,0.99
50,10,4,1,0.9,0,1
50,10,4,1,1,0,1
50,10,5,0.5,0.5,0,0
50,10,5,0.5,0.7,0,0.01
50,10,5,0.5,0.9,0,0.21
50,10,5,0.5,1,0,1
50,10,5,0.8,0.5,0,0
50,10,5,0.8,0.7,0,0.25
50,10,5,0.8,0.9,0,0.93
50,10,5,0.8,1,0,1
50,10,5,1,0.5,0,0.02
50,10,5,1,0.7,0,0.82
50,10,5,1,0.9,0,1
50,10,5,1,1,0,1
50,10,6,0.5,0.5,0,0
50,10,6,0.5,0.7,0,0
50,10,6,0.5,0.9,0,0.07
50,10,6,0.5,1,0,1
50,10,6,0.8,0.5,0,0
50,10,6,0.8,0.7,0,0.05
50,10,6,0.8,0.9,0,0.8
50,10,6,0.8,1,0,1
50,10,6,1,0.5,0,0
50,10,6,1,0.7,0,0.38
