nodes,guardians,threshold,fdkgPercentage,tallierRetPct,tallierNewPct,successRate
10,2,1,0.1,0.5,0.05,0
10,2,1,0.1,0.6,0.05,0
10,2,1,0.1,0.7,0.05,0
10,2,1,0.1,0.8,0.05,0
10,2,1,0.1,0.9,0.05,0
10,2,1,0.1,1,0.05,1
10,2,1,0.25,0.5,0.05,0.411
10,2,1,0.25,0.6,0.05,0.404
10,2,1,0.25,0.7,0.05,0.417
10,2,1,0.25,0.8,0.05,0.396
10,2,1,0.25,0.9,0.05,0.394
10,2,1,0.25,1,0.05,1
10,2,1,0.5,0.5,0.05,0.434
10,2,1,0.5,0.6,0.05,0.728
10,2,1,0.5,0.7,0.05,0.696
10,2,1,0.5,0.8,0.05,0.899
10,2,1,0.5,0.9,0.05,0.882
10,2,1,0.5,1,0.05,1
10,2,1,0.75,0.5,0.05,0.561
10,2,1,0.75,0.6,0.05,0.829
10,2,1,0.75,0.7,0.05,0.8
10,2,1,0.75,0.8,0.05,0.921
10,2,1,0.75,0.9,0.05,0.981
10,2,1,0.75,1,0.05,1
10,2,1,1,0.5,0.05,0.784
10,2,1,1,0.6,0.05,0.932
10,2,1,1,0.7,0.05,0.981
10,2,1,1,0.8,0.05,1
10,2,1,1,0.9,0.05,1
10,2,1,1,1,0.05,1
10,2,2,0.1,0.5,0.05,0
10,2,2,0.1,0.6,0.05,0
10,2,2,0.1,0.7,0.05,0
10,2,2,0.1,0.8,0.05,0
10,2,2,0.1,0.9,0.05,0
10,2,2,0.1,1,0.05,1
10,2,2,0.25,0.5,0.05,0
10,2,2,0.25,0.6,0.05,0
10,2,2,0.25,0.7,0.05,0
10,2,2,0.25,0.8,0.05,0
10,2,2,0.25,0.9,0.05,0
10,2,2,0.25,1,0.05,1
10,2,2,0.5,0.5,0.05,0.009
10,2,2,0.5,0.6,0.05,0.102
10,2,2,0.5,0.7,0.05,0.095
10,2,2,0.5,0.8,0.05,0.373
10,2,2,0.5,0.9,0.05,0.394
10,2,2,0.5,1,0.05,1
10,2,2,0.75,0.5,0.05,0.018
10,2,2,0.75,0.6,0.05,0.106
10,2,2,0.75,0.7,0.05,0.115
10,2,2,0.75,0.8,0.05,0.35
10,2,2,0.75,0.9,0.05,0.683
10,2,2,0.75,1,0.05,1
10,2,2,1,0.5,0.05,0.094
10,2,2,1,0.6,0.05,0.254
10,2,2,1,0.7,0.05,0.516
10,2,2,1,0.8,0.05,0.802
10,2,2,1,0.9,0.05,0.972
10,2,2,1,1,0.05,1
10,3,1,0.1,0.5,0.05,0
10,3,1,0.1,0.6,0.05,0
10,3,1,0.1,0.7,0.05,0
10,3,1,0.1,0.8,0.05,0
10,3,1,0.1,0.9,0.05,0
10,3,1,0.1,1,0.05,1
10,3,1,0.25,0.5,0.05,0.501
10,3,1,0.25,0.6,0.05,0.539
10,3,1,0.25,0.7,0.05,0.515
10,3,1,0.25,0.8,0.05,0.519
10,3,1,0.25,0.9,0.05,0.533
10,3,1,0.25,1,0.05,1
10,3,1,0.5,0.5,0.05,0.625
10,3,1,0.5,0.6,0.05,0.856
10,3,1,0.5,0.7,0.05,0.862
10,3,1,0.5,0.8,0.05,0.972
10,3,1,0.5,0.9,0.05,0.961
10,3,1,0.5,1,0.05,1
10,3,1,0.75,0.5,0.05,0.769
10,3,1,0.75,0.6,0.05,0.946
10,3,1,0.75,0.7,0.05,0.935
10,3,1,0.75,0.8,0.05,0.989
10,3,1,0.75,0.9,0.05,1
10,3,1,0.75,1,0.05,1
10,3,1,1,0.5,0.05,0.948
10,3,1,1,0.6,0.05,0.993
10,3,1,1,0.7,0.05,1
10,3,1,1,0.8,0.05,1
10,3,1,1,0.9,0.05,1
10,3,1,1,1,0.05,1
10,3,2,0.1,0.5,0.05,0
10,3,2,0.1,0.6,0.05,0
10,3,2,0.1,0.7,0.05,0
10,3,2,0.1,0.8,0.05,0
10,3,2,0.1,0.9,0.05,0
10,3,2,0.1,1,0.05,1
10,3,2,0.25,0.5,0.05,0
10,3,2,0.25,0.6,0.05,0
10,3,2,0.25,0.7,0.05,0
10,3,2,0.25,0.8,0.05,0
10,3,2,0.25,0.9,0.05,0
10,3,2,0.25,1,0.05,1
10,3,2,0.5,0.5,0.05,0.035
10,3,2,0.5,0.6,0.05,0.301
10,3,2,0.5,0.7,0.05,0.299
10,3,2,0.5,0.8,0.05,0.644
10,3,2,0.5,0.9,0.05,0.653
10,3,2,0.5,1,0.05,1
10,3,2,0.75,0.5,0.05,0.155
10,3,2,0.75,0.6,0.05,0.443
10,3,2,0.75,0.7,0.05,0.447
10,3,2,0.75,0.8,0.05,0.706
10,3,2,0.75,0.9,0.05,0.94
10,3,2,0.75,1,0.05,1
10,3,2,1,0.5,0.05,0.415
10,3,2,1,0.6,0.05,0.717
10,3,2,1,0.7,0.05,0.922
10,3,2,1,0.8,0.05,0.995
10,3,2,1,0.9,0.05,1
10,3,2,1,1,0.05,1
10,3,3,0.1,0.5,0.05,0
10,3,3,0.1,0.6,0.05,0
10,3,3,0.1,0.7,0.05,0
10,3,3,0.1,0.8,0.05,0
10,3,3,0.1,0.9,0.05,0
10,3,3,0.1,1,0.05,1
10,3,3,0.25,0.5,0.05,0
10,3,3,0.25,0.6,0.05,0
10,3,3,0.25,0.7,0.05,0
10,3,3,0.25,0.8,0.05,0
10,3,3,0.25,0.9,0.05,0
10,3,3,0.25,1,0.05,1
10,3,3,0.5,0.5,0.05,0
10,3,3,0.5,0.6,0.05,0.006
10,3,3,0.5,0.7,0.05,0.012
10,3,3,0.5,0.8,0.05,0.146
10,3,3,0.5,0.9,0.05,0.166
10,3,3,0.5,1,0.05,1
10,3,3,0.75,0.5,0.05,0
10,3,3,0.75,0.6,0.05,0.012
10,3,3,0.75,0.7,0.05,0.029
10,3,3,0.75,0.8,0.05,0.117
10,3,3,0.75,0.9,0.05,0.455
10,3,3,0.75,1,0.05,1
10,3,3,1,0.5,0.05,0.009
10,3,3,1,0.6,0.05,0.075
10,3,3,1,0.7,0.05,0.273
10,3,3,1,0.8,0.05,0.677
10,3,3,1,0.9,0.05,0.944
10,3,3,1,1,0.05,1
10,4,1,0.1,0.5,0.05,0
10,4,1,0.1,0.6,0.05,0
10,4,1,0.1,0.7,0.05,0
10,4,1,0.1,0.8,0.05,0
10,4,1,0.1,0.9,0.05,0
10,4,1,0.1,1,0.05,1
10,4,1,0.25,0.5,0.05,0.604
10,4,1,0.25,0.6,0.05,0.627
10,4,1,0.25,0.7,0.05,0.62
10,4,1,0.25,0.8,0.05,0.602
10,4,1,0.25,0.9,0.05,0.629
10,4,1,0.25,1,0.05,1
10,4,1,0.5,0.5,0.05,0.781
10,4,1,0.5,0.6,0.05,0.951
10,4,1,0.5,0.7,0.05,0.958
10,4,1,0.5,0.8,0.05,0.987
10,4,1,0.5,0.9,0.05,0.992
10,4,1,0.5,1,0.05,1
10,4,1,0.75,0.5,0.05,0.91
10,4,1,0.75,0.6,0.05,0.986
10,4,1,0.75,0.7,0.05,0.982
10,4,1,0.75,0.8,0.05,0.999
10,4,1,0.75,0.9,0.05,0.999
10,4,1,0.75,1,0.05,1
10,4,1,1,0.5,0.05,0.992
10,4,1,1,0.6,0.05,1
10,4,1,1,0.7,0.05,1
10,4,1,1,0.8,0.05,1
10,4,1,1,0.9,0.05,1
10,4,1,1,1,0.05,1
10,4,2,0.1,0.5,0.05,0
10,4,2,0.1,0.6,0.05,0
10,4,2,0.1,0.7,0.05,0
10,4,2,0.1,0.8,0.05,0
10,4,2,0.1,0.9,0.05,0
10,4,2,0.1,1,0.05,1
10,4,2,0.25,0.5,0.05,0
10,4,2,0.25,0.6,0.05,0
10,4,2,0.25,0.7,0.05,0
10,4,2,0.25,0.8,0.05,0
10,4,2,0.25,0.9,0.05,0
10,4,2,0.25,1,0.05,1
10,4,2,0.5,0.5,0.05,0.162
10,4,2,0.5,0.6,0.05,0.537
10,4,2,0.5,0.7,0.05,0.508
10,4,2,0.5,0.8,0.05,0.819
10,4,2,0.5,0.9,0.05,0.836
10,4,2,0.5,1,0.05,1
10,4,2,0.75,0.5,0.05,0.364
10,4,2,0.75,0.6,0.05,0.718
10,4,2,0.75,0.7,0.05,0.718
10,4,2,0.75,0.8,0.05,0.916
10,4,2,0.75,0.9,0.05,0.991
10,4,2,0.75,1,0.05,1
10,4,2,1,0.5,0.05,0.784
10,4,2,1,0.6,0.05,0.96
10,4,2,1,0.7,0.05,0.999
10,4,2,1,0.8,0.05,1
10,4,2,1,0.9,0.05,1
10,4,2,1,1,0.05,1
10,4,3,0.1,0.5,0.05,0
10,4,3,0.1,0.6,0.05,0
10,4,3,0.1,0.7,0.05,0
10,4,3,0.1,0.8,0.05,0
10,4,3,0.1,0.9,0.05,0
10,4,3,0.1,1,0.05,1
10,4,3,0.25,0.5,0.05,0
10,4,3,0.25,0.6,0.05,0
10,4,3,0.25,0.7,0.05,0
10,4,3,0.25,0.8,0.05,0
10,4,3,0.25,0.9,0.05,0
10,4,3,0.25,1,0.05,1
10,4,3,0.5,0.5,0.05,0
10,4,3,0.5,0.6,0.05,0.054
10,4,3,0.5,0.7,0.05,0.054
10,4,3,0.5,0.8,0.05,0.376
10,4,3,0.5,0.9,0.05,0.339
10,4,3,0.5,1,0.05,1
10,4,3,0.75,0.5,0.05,0.01
10,4,3,0.75,0.6,0.05,0.136
10,4,3,0.75,0.7,0.05,0.138
10,4,3,0.75,0.8,0.05,0.462
10,4,3,0.75,0.9,0.05,0.798
10,4,3,0.75,1,0.05,1
10,4,3,1,0.5,0.05,0.157
10,4,3,1,0.6,0.05,0.487
10,4,3,1,0.7,0.05,0.827
10,4,3,1,0.8,0.05,0.981
10,4,3,1,0.9,0.05,1
10,4,3,1,1,0.05,1
10,4,4,0.1,0.5,0.05,0
10,4,4,0.1,0.6,0.05,0
10,4,4,0.1,0.7,0.05,0
10,4,4,0.1,0.8,0.05,0
10,4,4,0.1,0.9,0.05,0
10,4,4,0.1,1,0.05,1
10,4,4,0.25,0.5,0.05,0
10,4,4,0.25,0.6,0.05,0
10,4,4,0.25,0.7,0.05,0
10,4,4,0.25,0.8,0.05,0
10,4,4,0.25,0.9,0.05,0
10,4,4,0.25,1,0.05,1
10,4,4,0.5,0.5,0.05,0
10,4,4,0.5,0.6,0.05,0
10,4,4,0.5,0.7,0.05,0
10,4,4,0.5,0.8,0.05,0.034
10,4,4,0.5,0.9,0.05,0.034
10,4,4,0.5,1,0.05,1
10,4,4,0.75,0.5,0.05,0
10,4,4,0.75,0.6,0.05,0
10,4,4,0.75,0.7,0.05,0.001
10,4,4,0.75,0.8,0.05,0.047
10,4,4,0.75,0.9,0.05,0.265
10,4,4,0.75,1,0.05,1
10,4,4,1,0.5,0.05,0
10,4,4,1,0.6,0.05,0.023
10,4,4,1,0.7,0.05,0.13
10,4,4,1,0.8,0.05,0.501
10,4,4,1,0.9,0.05,0.894
10,4,4,1,1,0.05,1
10,5,1,0.1,0.5,0.05,0
10,5,1,0.1,0.6,0.05,0
10,5,1,0.1,0.7,0.05,0
10,5,1,0.1,0.8,0.05,0
10,5,1,0.1,0.9,0.05,0
10,5,1,0.1,1,0.05,1
10,5,1,0.25,0.5,0.05,0.717
10,5,1,0.25,0.6,0.05,0.715
10,5,1,0.25,0.7,0.05,0.725
10,5,1,0.25,0.8,0.05,0.714
10,5,1,0.25,0.9,0.05,0.705
10,5,1,0.25,1,0.05,1
10,5,1,0.5,0.5,0.05,0.894
10,5,1,0.5,0.6,0.05,0.98
10,5,1,0.5,0.7,0.05,0.985
10,5,1,0.5,0.8,0.05,0.999
10,5,1,0.5,0.9,0.05,0.999
10,5,1,0.5,1,0.05,1
10,5,1,0.75,0.5,0.05,0.965
10,5,1,0.75,0.6,0.05,0.997
