nodes,guardians,threshold,fdkgPercentage,tallierRetPct,tallierNewPct,successRate
10,1,1,0.2,0.5,0,0.314
10,1,1,0.2,0.7,0,0.31
10,1,1,0.2,0.9,0,0.325
10,1,1,0.3,0.5,0,0.084
10,1,1,0.3,0.7,0,0.472
10,1,1,0.3,0.9,0,0.511
10,1,1,0.4,0.5,0,0.239
10,1,1,0.4,0.7,0,0.273
10,1,1,0.4,0.9,0,0.657
10,1,1,0.5,0.5,0,0.09
10,1,1,0.5,0.7,0,0.435
10,1,1,0.5,0.9,0,0.736
10,1,1,0.6,0.5,0,0.281
10,1,1,0.6,0.7,0,0.593
10,1,1,0.6,0.9,0,0.828
10,1,1,0.7,0.5,0,0.165
10,1,1,0.7,0.7,0,0.454
10,1,1,0.7,0.9,0,0.9
10,1,1,0.8,0.5,0,0.342
10,1,1,0.8,0.7,0,0.603
10,1,1,0.8,0.9,0,0.924
10,1,1,0.9,0.5,0,0.22
10,1,1,0.9,0.7,0,0.695
10,1,1,0.9,0.9,0,0.98
10,1,1,1,0.5,0,0.273
10,1,1,1,0.7,0,0.78
10,1,1,1,0.9,0,1
10,2,1,0.2,0.5,0,0.428
10,2,1,0.2,0.7,0,0.469
10,2,1,0.2,0.9,0,0.449
10,2,1,0.3,0.5,0,0.207
10,2,1,0.3,0.7,0,0.734
10,2,1,0.3,0.9,0,0.72
10,2,1,0.4,0.5,0,0.531
10,2,1,0.4,0.7,0,0.505
10,2,1,0.4,0.9,0,0.876
10,2,1,0.5,0.5,0,0.372
10,2,1,0.5,0.7,0,0.689
10,2,1,0.5,0.9,0,0.919
10,2,1,0.6,0.5,0,0.635
10,2,1,0.6,0.7,0,0.867
10,2,1,0.6,0.9,0,0.969
10,2,1,0.7,0.5,0,0.511
10,2,1,0.7,0.7,0,0.819
10,2,1,0.7,0.9,0,0.984
10,2,1,0.8,0.5,0,0.751
10,2,1,0.8,0.7,0,0.902
10,2,1,0.8,0.9,0,0.998
10,2,1,0.9,0.5,0,0.679
10,2,1,0.9,0.7,0,0.965
10,2,1,0.9,0.9,0,1
10,2,1,1,0.5,0,0.825
10,2,1,1,0.7,0,0.993
10,2,1,1,0.9,0,1
10,2,2,0.2,0.5,0,0.077
10,2,2,0.2,0.7,0,0.072
10,2,2,0.2,0.9,0,0.079
10,2,2,0.3,0.5,0,0.005
10,2,2,0.3,0.7,0,0.268
10,2,2,0.3,0.9,0,0.28
10,2,2,0.4,0.5,0,0.053
10,2,2,0.4,0.7,0,0.066
10,2,2,0.4,0.9,0,0.474
10,2,2,0.5,0.5,0,0.012
10,2,2,0.5,0.7,0,0.206
10,2,2,0.5,0.9,0,0.607
10,2,2,0.6,0.5,0,0.095
10,2,2,0.6,0.7,0,0.385
10,2,2,0.6,0.9,0,0.755
10,2,2,0.7,0.5,0,0.029
10,2,2,0.7,0.7,0,0.248
10,2,2,0.7,0.9,0,0.836
10,2,2,0.8,0.5,0,0.124
10,2,2,0.8,0.7,0,0.439
10,2,2,0.8,0.9,0,0.911
10,2,2,0.9,0.5,0,0.067
10,2,2,0.9,0.7,0,0.625
10,2,2,0.9,0.9,0,0.958
10,2,2,1,0.5,0,0.196
10,2,2,1,0.7,0,0.763
10,2,2,1,0.9,0,1
10,3,1,0.2,0.5,0,0.608
10,3,1,0.2,0.7,0,0.611
10,3,1,0.2,0.9,0,0.599
10,3,1,0.3,0.5,0,0.339
10,3,1,0.3,0.7,0,0.849
10,3,1,0.3,0.9,0,0.851
10,3,1,0.4,0.5,0,0.713
10,3,1,0.4,0.7,0,0.709
